concept_name,SRC CODE,concept_id,vocabulary_id,domain_id,v6_domain_id,concept_class_id,standard_concept,valid_start_date,valid_end_date,invalid_reason,source
Trail drawings score,trails_visuospatial_executive,2005200344,,,,,,,,,MOCA
Time taken to do trails in seconds,trails_visuospatial_executive_time,2005200345,,,,,,,,,MOCA
Cube drawings score,cube_visuospatial_executive,2005200346,,,,,,,,,MOCA
Time taken to do cube in seconds,cube_visuospatial_executive_time,2005200347,,,,,,,,,MOCA
Clock drawings score,clock_visuospatial_executive,2005200348,,,,,,,,,MOCA
Time taken to do clock in seconds,clock_visuospatial_executive_time,2005200349,,,,,,,,,MOCA
Animal name recall task score,naming,2005200350,,,,,,,,,MOCA
Time in seconds to perform the animal name recall task,naming_time,2005200351,,,,,,,,,MOCA
Words correctly repeated (1st trial) score,memory_trial1,2005200352,,,,,,,,,MOCA
Time in seconds to perform the words correctly repeated (1st trial),memory_trial1_time,2005200353,,,,,,,,,MOCA
Words correctly repeated (2nd trial) score,memory_trial2,2005200354,,,,,,,,,MOCA
Time in seconds to perform the words correctly repeated (2nd trial),memory_trial2_time,2005200355,,,,,,,,,MOCA
Repeating digits score,digitspan,2005200356,,,,,,,,,MOCA
Time in seconds to perform the repeating digits task,digitspan_time,2005200357,,,,,,,,,MOCA
Letter tapping score,lettera,2005200358,,,,,,,,,MOCA
Time in seconds to perform the letter tapping task,lettera_time,2005200359,,,,,,,,,MOCA
Serial 7 subtraction score,subtraction,2005200360,,,,,,,,,MOCA
Time in seconds to perform the serial 7 subtraction task,subtraction_time,2005200361,,,,,,,,,MOCA
Repeats sentences II score,repetition,2005200362,,,,,,,,,MOCA
Time in seconds to perform repeats sentences II task,repetition_time,2005200363,,,,,,,,,MOCA
Maximal one-minute recall of words beginning with 'F' score,verbal_fluency_language,2005200364,,,,,,,,,MOCA
Time in seconds to perform the words beginning with 'F' recall task,verbal_fluency_language_time,2005200365,,,,,,,,,MOCA
MOCA abstraction score,moca_abstraction,2005200366,,,,,,,,,MOCA
Time in seconds to perform MOCA abstraction task,moca_abstraction_time,2005200367,,,,,,,,,MOCA
MOCA delayed recall with no cue score,delayed_recall_with_no_cue,2005200368,,,,,,,,,MOCA
Time in seconds to perform the MOCA delayed recall with no cue task,delayed_recall_with_no_cue_time,2005200369,,,,,,,,,MOCA
"MOCA orientation date, month, year, day, place, city score",moca_orientation,2005200370,,,,,,,,,MOCA
"Time in seconds to perform the MOCA orientation date, month, year, day, place, city task",moca_orientation_time,2005200371,,,,,,,,,MOCA
Age in years (3-4 year span),age_years_at_interview,2005200372,,,,,,,,,MOCA
"MOCA delayed recall with no cue, cue, and multiple choice cue (Combined score)",moca_combined_mis_score,2005200373,,,,,,,,,MOCA
